Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Kevin Lasagna,AT,27.0,19,14,1.267,14.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.2,3.2,1.9,51.0,28.0,19.0,100.0,14.0,0.0,14.0,14.0,14.0,23.0,14.0,36.0,23.0,36.0,7.0,3.0,0.0,5.0,2.0,1.0,5.0,200.0,4.0,12.0,1.0,11.0,1.0,8.0,11.0,0.0
Eddie Salcedo,"LT,AT",18.0,21,7,755.0,8.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,3.9,3.9,0.3,42.0,13.0,29.0,53.0,24.0,0.0,24.0,24.0,24.0,46.0,4.0,51.0,46.0,51.0,6.0,2.0,3.0,2.0,1.0,3.0,3.0,1000.0,0.0,6.0,0.0,6.0,6.0,12.0,6.0,0.0
Samuel Di Carmine,AT,31.0,11,6,500.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.1,15.0,10.0,7.0,44.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,33.0,30.0,33.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0
Ebrima Colley,"LT,AT",20.0,23,4,734.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.7,24.0,28.0,22.0,95.0,12.0,0.0,12.0,12.0,12.0,21.0,8.0,29.0,21.0,29.0,11.0,4.0,2.0,6.0,3.0,3.0,11.0,273.0,8.0,6.0,0.0,6.0,6.0,17.0,1.0,0.0
Daniel Bessa,LT,27.0,18,4,615.0,6.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.9,29.0,19.0,35.0,39.0,0.0,29.0,29.0,0.0,29.0,15.0,28.0,43.0,15.0,43.0,15.0,8.0,3.0,11.0,1.0,6.0,14.0,429.0,8.0,5.0,1.0,4.0,2.0,17.0,0.0,0.0
Stefano Sturaro,LT,27.0,10,4,423.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,0.0,1.0,2.0,8.0,250.0,6.0,5.0,1.0,4.0,5.0,9.0,10.0,0.0
Yıldırım Mert Çetin,ZG,23.0,6,4,418.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,8.0,4.0,3.0,5.0,0.0,2.0,6.0,333.0,4.0,7.0,5.0,2.0,14.0,22.0,11.0,1.0
Ivor Pandur,G,20.0,4,4,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Empereur,ZG,26.0,4,4,219.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,6.0,6.0,7.0,1.0
Andrea Favilli,AT,23.0,11,2,339.0,3.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,0.1,17.0,7.0,2.0,37.0,53.0,0.0,53.0,53.0,53.0,42.0,3.0,44.0,42.0,44.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,667.0,1.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0
