Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Felipe Caicedo,AT,31.0,25,9,929.0,10.3,8.0,0.0,8.0,7.0,1.0,1.0,5.0,0.0,5.5,4.7,0.7,53.0,6.0,18.0,57.0,78.0,0.0,78.0,68.0,68.0,53.0,7.0,59.0,45.0,52.0,10.0,7.0,4.0,4.0,2.0,1.0,8.0,125.0,7.0,7.0,0.0,7.0,4.0,14.0,2.0,0.0
Thomas Strakosha,G,25.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0
Senad Lulić,ZG,34.0,16,8,718.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,7.0,16.0,24.0,44.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,5.0,9.0,14.0,7.0,6.0,5.0,3.0,7.0,15.0,467.0,8.0,10.0,1.0,9.0,4.0,18.0,13.0,0.0
Vedat Muriqi,AT,26.0,27,7,832.0,9.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.2,3.2,0.6,38.0,9.0,20.0,79.0,11.0,0.0,11.0,11.0,11.0,34.0,7.0,41.0,34.0,41.0,3.0,1.0,0.0,2.0,1.0,0.0,8.0,0.0,8.0,9.0,2.0,7.0,3.0,6.0,20.0,0.0
Marco Parolo,"ZG,LT",35.0,18,7,653.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.9,14.0,8.0,31.0,12.0,0.0,28.0,28.0,0.0,28.0,7.0,12.0,20.0,7.0,20.0,21.0,8.0,8.0,11.0,2.0,8.0,20.0,400.0,12.0,20.0,6.0,14.0,14.0,35.0,31.0,0.0
Jean-Daniel Akpa-Akpro,LT,27.0,32,6,1.056,11.7,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.2,1.2,0.8,19.0,11.0,26.0,31.0,0.0,9.0,9.0,0.0,9.0,10.0,6.0,16.0,10.0,16.0,38.0,25.0,13.0,22.0,3.0,8.0,27.0,296.0,19.0,24.0,6.0,18.0,18.0,56.0,13.0,0.0
Gonzalo Escalante,LT,27.0,24,4,733.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.3,10.0,11.0,45.0,7.0,0.0,12.0,12.0,0.0,12.0,8.0,4.0,13.0,8.0,13.0,26.0,13.0,11.0,14.0,1.0,8.0,28.0,286.0,20.0,10.0,3.0,7.0,19.0,45.0,13.0,0.0
Danilo Cataldi,LT,25.0,19,4,568.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.3,6.0,12.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,10.0,5.0,10.0,7.0,2.0,1.0,5.0,1.0,4.0,18.0,222.0,14.0,3.0,1.0,2.0,9.0,16.0,7.0,0.0
Andreas Pereira,"AT,LT",24.0,26,3,543.0,6.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,0.7,0.6,1.5,21.0,17.0,32.0,53.0,17.0,33.0,50.0,17.0,50.0,11.0,25.0,36.0,10.0,35.0,5.0,0.0,1.0,3.0,1.0,2.0,12.0,167.0,10.0,6.0,0.0,6.0,1.0,6.0,4.0,0.0
Mateo Musacchio,ZG,29.0,4,2,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,5.0,2.0,3.0,2.0,3.0,5.0,0.0
