Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,16.0,qua,2023-01-04,14:30,Spezia,1.5,2–2,2.1,Atalanta,7.417,Stadio Alberto Picco,Antonio Giua,Relatório da Partida,
Temporada regular,16.0,qua,2023-01-04,14:30,Torino,0.4,1–1,0.9,Hellas Verona,15.0,Stadio Olimpico di Torino,Federico Dionisi,Relatório da Partida,
Temporada regular,16.0,qua,2023-01-04,16:30,Roma,1.5,1–0,0.7,Bologna,62.092,Stadio Olimpico,Alberto Santoro,Relatório da Partida,
Temporada regular,16.0,qua,2023-01-04,16:30,Lecce,1.3,2–1,0.7,Lazio,26.084,Stadio Comunale Via Del Mare,Livio Marinelli,Relatório da Partida,
Temporada regular,16.0,qua,2023-01-04,18:30,Fiorentina,1.6,1–1,1.7,Monza,31.19,Stadio Artemio Franchi,Ermanno Feliciani,Relatório da Partida,
Temporada regular,16.0,qua,2023-01-04,18:30,Cremonese,0.9,0–1,1.6,Juventus,14.896,Stadio Giovanni Zini,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,16.0,qua,2023-01-04,20:45,Inter,1.4,1–0,0.9,Napoli,75.47,Stadio Giuseppe Meazza,Simone Sozza,Relatório da Partida,
Temporada regular,16.0,qua,2023-01-04,20:45,Udinese,1.9,1–1,0.4,Empoli,19.237,Dacia Arena,Marco Serra,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,17.0,sáb,2023-01-07,15:00,Fiorentina,2.2,2–1,1.6,Sassuolo,29.695,Stadio Artemio Franchi,Gianluca Manganiello,Relatório da Partida,
Temporada regular,17.0,sáb,2023-01-07,18:00,Juventus,2.4,1–0,0.5,Udinese,39.536,Allianz Stadium,Matteo Marchetti,Relatório da Partida,
Temporada regular,17.0,sáb,2023-01-07,20:45,Monza,1.5,2–2,1.7,Inter,13.622,U-Power Stadium,Juan Sacchi,Relatório da Partida,
Temporada regular,17.0,dom,2023-01-08,12:30,Salernitana,0.8,1–1,2.2,Torino,16.3,Stadio Arechi,Andrea Colombo,Relatório da Partida,
Temporada regular,17.0,dom,2023-01-08,15:00,Spezia,0.9,0–0,1.1,Lecce,7.3,Stadio Alberto Picco,Daniele Chiffi,Relatório da Partida,
Temporada regular,17.0,dom,2023-01-08,15:00,Lazio,0.9,2–2,0.6,Empoli,31.0,Stadio Olimpico,Ivan Pezzuto,Relatório da Partida,
Temporada regular,17.0,dom,2023-01-08,18:00,Sampdoria,0.6,0–2,3.2,Napoli,24.49,Stadio Comunale Luigi Ferraris,Rosario Abisso,Relatório da Partida,
Temporada regular,17.0,dom,2023-01-08,20:45,Milan,0.9,2–2,1.2,Roma,74.103,Stadio Giuseppe Meazza,Davide Massa,Relatório da Partida,
Temporada regular,17.0,seg,2023-01-09,18:30,Hellas Verona,1.5,2–0,0.8,Cremonese,3.804,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Relatório da Partida,
Temporada regular,17.0,seg,2023-01-09,20:45,Bologna,0.5,1–2,0.5,Atalanta,16.953,Stadio Renato Dall'Ara,Marco Di Bello,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,18.0,sex,2023-01-13,20:45,Napoli,2.1,5–1,1.3,Juventus,60.0,Stadio Diego Armando Maradona,Daniele Doveri,Relatório da Partida,
Temporada regular,18.0,sáb,2023-01-14,15:00,Cremonese,0.7,2–3,2.2,Monza,11.519,Stadio Giovanni Zini,Davide Massa,Relatório da Partida,
Temporada regular,18.0,sáb,2023-01-14,18:00,Lecce,1.4,2–2,1.4,Milan,25.942,Stadio Comunale Via Del Mare,Daniele Orsato,Relatório da Partida,
Temporada regular,18.0,sáb,2023-01-14,20:45,Inter,0.7,1–0,0.3,Hellas Verona,70.734,Stadio Giuseppe Meazza,Michael Fabbri,Relatório da Partida,
Temporada regular,18.0,dom,2023-01-15,12:30,Sassuolo,0.7,0–2,2.7,Lazio,10.0,Mapei Stadium - Città del Tricolore,Luca Pairetto,Relatório da Partida,
Temporada regular,18.0,dom,2023-01-15,15:00,Udinese,1.9,1–2,2.0,Bologna,20.486,Dacia Arena,Manuel Volpi,Relatório da Partida,
Temporada regular,18.0,dom,2023-01-15,15:00,Torino,1.0,0–1,1.5,Spezia,15.113,Stadio Olimpico di Torino,Davide Ghersini,Relatório da Partida,
Temporada regular,18.0,dom,2023-01-15,18:00,Atalanta,2.9,8–2,1.0,Salernitana,18.499,Gewiss Stadium,Gianluca Aureliano,Relatório da Partida,
Temporada regular,18.0,dom,2023-01-15,20:45,Roma,0.9,2–0,0.4,Fiorentina,61.327,Stadio Olimpico,Antonio Giua,Relatório da Partida,
Temporada regular,18.0,seg,2023-01-16,20:45,Empoli,1.4,1–0,0.9,Sampdoria,10.364,Stadio Carlo Castellani,Alberto Santoro,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,19.0,sáb,2023-01-21,15:00,Hellas Verona,0.5,2–0,0.8,Lecce,19.955,Stadio Marc'Antonio Bentegodi,Federico La Penna,Relatório da Partida,
Temporada regular,19.0,sáb,2023-01-21,18:00,Salernitana,0.4,0–2,1.4,Napoli,18.555,Stadio Arechi,Daniele Chiffi,Relatório da Partida,
Temporada regular,19.0,sáb,2023-01-21,20:45,Fiorentina,1.2,0–1,0.6,Torino,29.281,Stadio Artemio Franchi,Federico Dionisi,Relatório da Partida,
Temporada regular,19.0,dom,2023-01-22,12:30,Sampdoria,1.3,0–1,1.3,Udinese,18.642,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Relatório da Partida,
Temporada regular,19.0,dom,2023-01-22,15:00,Monza,1.5,1–1,1.5,Sassuolo,10.2,U-Power Stadium,Alessandro Prontera,Relatório da Partida,
Temporada regular,19.0,dom,2023-01-22,18:00,Spezia,0.2,0–2,2.0,Roma,9.153,Stadio Alberto Picco,Simone Sozza,Relatório da Partida,
Temporada regular,19.0,dom,2023-01-22,20:45,Juventus,1.9,3–3,1.0,Atalanta,33.565,Allianz Stadium,Livio Marinelli,Relatório da Partida,
Temporada regular,19.0,seg,2023-01-23,18:30,Bologna,1.1,1–1,1.7,Cremonese,15.587,Stadio Renato Dall'Ara,Matteo Marchetti,Relatório da Partida,
Temporada regular,19.0,seg,2023-01-23,20:45,Inter,1.4,0–1,0.8,Empoli,65.476,Stadio Giuseppe Meazza,Antonio Rapuano,Relatório da Partida,
Temporada regular,19.0,ter,2023-01-24,20:45,Lazio,3.1,4–0,0.7,Milan,47.0,Stadio Olimpico,Marco Di Bello,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,20.0,sex,2023-01-27,18:30,Bologna,1.6,2–0,0.5,Spezia,17.213,Stadio Renato Dall'Ara,Luca Massimi,Relatório da Partida,
Temporada regular,20.0,sex,2023-01-27,20:45,Lecce,1.4,1–2,0.9,Salernitana,24.446,Stadio Comunale Via Del Mare,Davide Massa,Relatório da Partida,
Temporada regular,20.0,sáb,2023-01-28,15:00,Empoli,0.6,2–2,1.0,Torino,8.029,Stadio Carlo Castellani,Matteo Marcenaro,Relatório da Partida,
Temporada regular,20.0,sáb,2023-01-28,18:00,Cremonese,1.0,1–2,2.3,Inter,14.554,Stadio Giovanni Zini,Maurizio Mariani,Relatório da Partida,
Temporada regular,20.0,sáb,2023-01-28,20:45,Atalanta,1.8,2–0,0.8,Sampdoria,19.095,Gewiss Stadium,Daniele Doveri,Relatório da Partida,
Temporada regular,20.0,dom,2023-01-29,12:30,Milan,0.6,2–5,2.2,Sassuolo,70.428,Stadio Giuseppe Meazza,Antonio Giua,Relatório da Partida,
Temporada regular,20.0,dom,2023-01-29,15:00,Juventus,1.6,0–2,1.2,Monza,39.393,Allianz Stadium,Gianluca Aureliano,Relatório da Partida,
Temporada regular,20.0,dom,2023-01-29,18:00,Lazio,0.9,1–1,1.3,Fiorentina,43.0,Stadio Olimpico,Andrea Colombo,Relatório da Partida,
Temporada regular,20.0,dom,2023-01-29,20:45,Napoli,1.0,2–1,0.8,Roma,48.791,Stadio Diego Armando Maradona,Daniele Orsato,Relatório da Partida,
Temporada regular,20.0,seg,2023-01-30,20:45,Udinese,1.8,1–1,0.8,Hellas Verona,17.276,Dacia Arena,Luca Pairetto,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,21.0,sáb,2023-02-04,15:00,Cremonese,0.6,0–2,1.5,Lecce,11.189,Stadio Giovanni Zini,Daniele Orsato,Relatório da Partida,
Temporada regular,21.0,sáb,2023-02-04,18:00,Roma,1.2,2–0,1.7,Empoli,60.908,Stadio Olimpico,Federico Dionisi,Relatório da Partida,
Temporada regular,21.0,sáb,2023-02-04,20:45,Sassuolo,1.3,1–0,0.5,Atalanta,12.611,Mapei Stadium - Città del Tricolore,Matteo Marcenaro,Relatório da Partida,
Temporada regular,21.0,dom,2023-02-05,12:30,Spezia,0.4,0–3,1.9,Napoli,8.7,Stadio Alberto Picco,Marco Di Bello,Relatório da Partida,
Temporada regular,21.0,dom,2023-02-05,15:00,Torino,1.7,1–0,0.5,Udinese,16.82,Stadio Olimpico di Torino,Alessandro Prontera,Relatório da Partida,
Temporada regular,21.0,dom,2023-02-05,18:00,Fiorentina,1.3,1–2,1.8,Bologna,30.546,Stadio Artemio Franchi,Luca Pairetto,Relatório da Partida,
Temporada regular,21.0,dom,2023-02-05,20:45,Inter,0.9,1–0,0.3,Milan,75.584,Stadio Giuseppe Meazza,Davide Massa,Relatório da Partida,
Temporada regular,21.0,seg,2023-02-06,18:30,Hellas Verona,1.2,1–1,0.9,Lazio,20.329,Stadio Marc'Antonio Bentegodi,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,21.0,seg,2023-02-06,20:45,Monza,2.1,2–2,1.2,Sampdoria,11.95,U-Power Stadium,Daniele Chiffi,Relatório da Partida,
Temporada regular,21.0,ter,2023-02-07,20:45,Salernitana,0.8,0–3,2.2,Juventus,26.945,Stadio Arechi,Antonio Rapuano,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,22.0,sex,2023-02-10,20:45,Milan,1.3,1–0,0.8,Torino,68.268,Stadio Giuseppe Meazza,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,22.0,sáb,2023-02-11,15:00,Empoli,1.6,2–2,1.5,Spezia,7.871,Stadio Carlo Castellani,Antonio Giua,Relatório da Partida,
Temporada regular,22.0,sáb,2023-02-11,18:00,Lecce,0.3,1–1,1.7,Roma,25.2,Stadio Comunale Via Del Mare,Gianluca Aureliano,Relatório da Partida,
Temporada regular,22.0,sáb,2023-02-11,20:45,Lazio,0.9,0–2,2.8,Atalanta,41.0,Stadio Olimpico,Daniele Orsato,Relatório da Partida,
Temporada regular,22.0,dom,2023-02-12,12:30,Udinese,1.6,2–2,0.7,Sassuolo,20.912,Dacia Arena,Ivan Pezzuto,Relatório da Partida,
Temporada regular,22.0,dom,2023-02-12,15:00,Bologna,0.9,0–1,0.6,Monza,21.692,Stadio Renato Dall'Ara,Luca Zufferli,Relatório da Partida,
Temporada regular,22.0,dom,2023-02-12,18:00,Juventus,1.0,1–0,0.7,Fiorentina,34.844,Allianz Stadium,Michael Fabbri,Relatório da Partida,
Temporada regular,22.0,dom,2023-02-12,20:45,Napoli,1.8,3–0,0.2,Cremonese,50.25,Stadio Diego Armando Maradona,Luca Massimi,Relatório da Partida,
Temporada regular,22.0,seg,2023-02-13,18:30,Hellas Verona,1.2,1–0,0.9,Salernitana,17.832,Stadio Marc'Antonio Bentegodi,Paolo Valeri,Relatório da Partida,
Temporada regular,22.0,seg,2023-02-13,20:45,Sampdoria,0.5,0–0,1.8,Inter,21.575,Stadio Comunale Luigi Ferraris,Fabio Maresca,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,23.0,sex,2023-02-17,20:45,Sassuolo,0.8,0–2,1.6,Napoli,15.911,Mapei Stadium - Città del Tricolore,Andrea Colombo,Relatório da Partida,
Temporada regular,23.0,sáb,2023-02-18,15:00,Sampdoria,2.3,1–2,0.9,Bologna,18.269,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Relatório da Partida,
Temporada regular,23.0,sáb,2023-02-18,18:00,Monza,0.5,0–1,2.1,Milan,14.012,U-Power Stadium,Antonio Rapuano,Relatório da Partida,
Temporada regular,23.0,sáb,2023-02-18,20:45,Inter,2.7,3–1,0.8,Udinese,71.248,Stadio Giuseppe Meazza,Federico Dionisi,Relatório da Partida,
Temporada regular,23.0,dom,2023-02-19,12:30,Atalanta,1.5,1–2,0.4,Lecce,19.435,Gewiss Stadium,Marco Piccinini,Relatório da Partida,
Temporada regular,23.0,dom,2023-02-19,15:00,Salernitana,0.4,0–2,3.0,Lazio,14.86,Stadio Arechi,Rosario Abisso,Relatório da Partida,
Temporada regular,23.0,dom,2023-02-19,15:00,Fiorentina,2.2,1–1,0.8,Empoli,29.663,Stadio Artemio Franchi,Alessandro Prontera,Relatório da Partida,
Temporada regular,23.0,dom,2023-02-19,18:00,Spezia,1.3,0–2,1.1,Juventus,11.767,Stadio Alberto Picco,Federico La Penna,Relatório da Partida,
Temporada regular,23.0,dom,2023-02-19,20:45,Roma,0.8,1–0,0.4,Hellas Verona,61.009,Stadio Olimpico,Simone Sozza,Relatório da Partida,
Temporada regular,23.0,seg,2023-02-20,20:45,Torino,2.4,2–2,0.6,Cremonese,19.095,Stadio Olimpico di Torino,Giacomo Camplone,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,24.0,sáb,2023-02-25,18:00,Empoli,0.6,0–2,2.5,Napoli,12.624,Stadio Carlo Castellani,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,24.0,sáb,2023-02-25,20:45,Lecce,1.2,0–1,1.1,Sassuolo,23.76,Stadio Comunale Via Del Mare,Niccolò Baroni,Relatório da Partida,
Temporada regular,24.0,dom,2023-02-26,12:30,Bologna,1.2,1–0,1.0,Inter,28.317,Stadio Renato Dall'Ara,Daniele Orsato,Relatório da Partida,
Temporada regular,24.0,dom,2023-02-26,15:00,Salernitana,2.4,3–0,1.4,Monza,14.947,Stadio Arechi,Livio Marinelli,Relatório da Partida,
Temporada regular,24.0,dom,2023-02-26,18:00,Udinese,2.5,2–2,2.5,Spezia,20.71,Dacia Arena,Matteo Marchetti,Relatório da Partida,
Temporada regular,24.0,dom,2023-02-26,20:45,Milan,1.8,2–0,0.1,Atalanta,72.203,Stadio Giuseppe Meazza,Maurizio Mariani,Relatório da Partida,
Temporada regular,24.0,seg,2023-02-27,18:30,Hellas Verona,1.2,0–3,1.4,Fiorentina,17.787,Stadio Marc'Antonio Bentegodi,Federico La Penna,Relatório da Partida,
Temporada regular,24.0,seg,2023-02-27,20:45,Lazio,1.6,1–0,0.5,Sampdoria,35.0,Stadio Olimpico,Andrea Colombo,Relatório da Partida,
Temporada regular,24.0,ter,2023-02-28,18:30,Cremonese,1.0,2–1,1.2,Roma,11.367,Stadio Giovanni Zini,Marco Piccinini,Relatório da Partida,
Temporada regular,24.0,ter,2023-02-28,20:45,Juventus,1.5,4–2,1.2,Torino,37.806,Allianz Stadium,Daniele Chiffi,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,25.0,sex,2023-03-03,20:45,Napoli,0.9,0–1,0.2,Lazio,45.786,Stadio Diego Armando Maradona,Luca Pairetto,Relatório da Partida,
Temporada regular,25.0,sáb,2023-03-04,15:00,Monza,0.7,2–1,1.0,Empoli,10.601,U-Power Stadium,Ermanno Feliciani,Relatório da Partida,
Temporada regular,25.0,sáb,2023-03-04,18:00,Atalanta,1.4,0–0,0.3,Udinese,18.475,Gewiss Stadium,Davide Ghersini,Relatório da Partida,
Temporada regular,25.0,sáb,2023-03-04,20:45,Fiorentina,2.1,2–1,0.9,Milan,40.41,Stadio Artemio Franchi,Marco Di Bello,Relatório da Partida,
Temporada regular,25.0,dom,2023-03-05,12:30,Spezia,1.2,0–0,1.2,Hellas Verona,10.02,Stadio Alberto Picco,Daniele Doveri,Relatório da Partida,
Temporada regular,25.0,dom,2023-03-05,15:00,Sampdoria,0.5,0–0,0.8,Salernitana,20.353,Stadio Comunale Luigi Ferraris,Davide Massa,Relatório da Partida,
Temporada regular,25.0,dom,2023-03-05,18:00,Inter,0.8,2–0,0.6,Lecce,75.033,Stadio Giuseppe Meazza,Gianluca Manganiello,Relatório da Partida,
Temporada regular,25.0,dom,2023-03-05,20:45,Roma,0.6,1–0,0.7,Juventus,64.213,Stadio Olimpico,Fabio Maresca,Relatório da Partida,
Temporada regular,25.0,seg,2023-03-06,18:30,Sassuolo,1.0,3–2,1.2,Cremonese,11.587,Mapei Stadium - Città del Tricolore,Francesco Fourneau,Relatório da Partida,
Temporada regular,25.0,seg,2023-03-06,20:45,Torino,0.9,1–0,0.5,Bologna,18.592,Stadio Olimpico di Torino,Antonio Rapuano,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,26.0,sex,2023-03-10,20:45,Spezia,1.0,2–1,3.8,Inter,11.767,Stadio Alberto Picco,Livio Marinelli,Relatório da Partida,
Temporada regular,26.0,sáb,2023-03-11,15:00,Empoli,1.2,0–1,1.4,Udinese,7.465,Stadio Carlo Castellani,Francesco Cosso,Relatório da Partida,
Temporada regular,26.0,sáb,2023-03-11,18:00,Napoli,1.3,2–0,0.3,Atalanta,50.601,Stadio Diego Armando Maradona,Andrea Colombo,Relatório da Partida,
Temporada regular,26.0,sáb,2023-03-11,20:45,Bologna,0.9,0–0,0.8,Lazio,27.369,Stadio Renato Dall'Ara,Fabio Maresca,Relatório da Partida,
Temporada regular,26.0,dom,2023-03-12,12:30,Lecce,0.5,0–2,0.1,Torino,24.413,Stadio Comunale Via Del Mare,Juan Sacchi,Relatório da Partida,
Temporada regular,26.0,dom,2023-03-12,15:00,Cremonese,1.8,0–2,1.7,Fiorentina,11.506,Stadio Giovanni Zini,Matteo Marcenaro,Relatório da Partida,
Temporada regular,26.0,dom,2023-03-12,15:00,Hellas Verona,0.6,1–1,1.1,Monza,18.061,Stadio Marc'Antonio Bentegodi,Marco Piccinini,Relatório da Partida,
Temporada regular,26.0,dom,2023-03-12,18:00,Roma,1.5,3–4,3.5,Sassuolo,60.816,Stadio Olimpico,Michael Fabbri,Relatório da Partida,
Temporada regular,26.0,dom,2023-03-12,20:45,Juventus,2.8,4–2,0.8,Sampdoria,35.166,Allianz Stadium,Alessandro Prontera,Relatório da Partida,
Temporada regular,26.0,seg,2023-03-13,20:45,Milan,2.2,1–1,0.8,Salernitana,71.87,Stadio Giuseppe Meazza,Federico La Penna,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,27.0,sex,2023-03-17,18:30,Sassuolo,2.0,1–0,0.7,Spezia,11.152,Mapei Stadium - Città del Tricolore,Davide Ghersini,Relatório da Partida,
Temporada regular,27.0,sex,2023-03-17,20:45,Atalanta,2.9,2–1,0.7,Empoli,17.864,Gewiss Stadium,Federico Dionisi,Relatório da Partida,
Temporada regular,27.0,sáb,2023-03-18,15:00,Monza,2.0,1–1,0.7,Cremonese,12.797,U-Power Stadium,Antonio Giua,Relatório da Partida,
Temporada regular,27.0,sáb,2023-03-18,18:00,Salernitana,0.9,2–2,0.4,Bologna,18.6,Stadio Arechi,Luca Pairetto,Relatório da Partida,
Temporada regular,27.0,sáb,2023-03-18,20:45,Udinese,1.8,3–1,1.5,Milan,24.992,Dacia Arena,Daniele Doveri,Relatório da Partida,
Temporada regular,27.0,dom,2023-03-19,12:30,Sampdoria,1.2,3–1,1.3,Hellas Verona,18.228,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Relatório da Partida,
Temporada regular,27.0,dom,2023-03-19,15:00,Fiorentina,1.2,1–0,0.5,Lecce,34.604,Stadio Artemio Franchi,Rosario Abisso,Relatório da Partida,
Temporada regular,27.0,dom,2023-03-19,15:00,Torino,1.3,0–4,2.3,Napoli,26.058,Stadio Olimpico di Torino,Matteo Marchetti,Relatório da Partida,
Temporada regular,27.0,dom,2023-03-19,18:00,Lazio,0.6,1–0,0.6,Roma,62.0,Stadio Olimpico,Davide Massa,Relatório da Partida,
Temporada regular,27.0,dom,2023-03-19,20:45,Inter,1.2,0–1,0.6,Juventus,75.224,Stadio Giuseppe Meazza,Daniele Chiffi,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,28.0,sáb,2023-04-01,15:00,Cremonese,1.5,1–3,2.9,Atalanta,11.891,Stadio Giovanni Zini,Livio Marinelli,Relatório da Partida,
Temporada regular,28.0,sáb,2023-04-01,18:00,Inter,2.8,0–1,1.1,Fiorentina,73.576,Stadio Giuseppe Meazza,Fabio Maresca,Relatório da Partida,
Temporada regular,28.0,sáb,2023-04-01,20:45,Juventus,1.8,1–0,0.6,Hellas Verona,40.105,Allianz Stadium,Matteo Marchetti,Relatório da Partida,
Temporada regular,28.0,dom,2023-04-02,12:30,Bologna,0.7,3–0,0.8,Udinese,25.562,Stadio Renato Dall'Ara,Maria Sole Ferrieri Caputi,Relatório da Partida,
Temporada regular,28.0,dom,2023-04-02,15:00,Spezia,2.0,1–1,1.1,Salernitana,10.723,Stadio Alberto Picco,Daniele Orsato,Relatório da Partida,
Temporada regular,28.0,dom,2023-04-02,15:00,Monza,1.3,0–2,0.5,Lazio,14.539,U-Power Stadium,Matteo Marcenaro,Relatório da Partida,
Temporada regular,28.0,dom,2023-04-02,18:00,Roma,3.0,3–0,0.3,Sampdoria,62.108,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
Temporada regular,28.0,dom,2023-04-02,20:45,Napoli,1.2,0–4,2.1,Milan,51.466,Stadio Diego Armando Maradona,Antonio Rapuano,Relatório da Partida,
Temporada regular,28.0,seg,2023-04-03,18:30,Empoli,1.7,1–0,0.2,Lecce,8.844,Stadio Carlo Castellani,Michael Fabbri,Relatório da Partida,
Temporada regular,28.0,seg,2023-04-03,20:45,Sassuolo,1.1,1–1,1.7,Torino,12.896,Mapei Stadium - Città del Tricolore,Ivan Pezzuto,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,29.0,sex,2023-04-07,17:00,Salernitana,1.1,1–1,2.8,Inter,23.702,Stadio Arechi,Michael Fabbri,Relatório da Partida,
Temporada regular,29.0,sex,2023-04-07,19:00,Lecce,1.1,1–2,1.1,Napoli,25.799,Stadio Comunale Via Del Mare,Gianluca Manganiello,Relatório da Partida,
Temporada regular,29.0,sex,2023-04-07,21:00,Milan,1.9,0–0,0.1,Empoli,70.286,Stadio Giuseppe Meazza,Matteo Marcenaro,Relatório da Partida,
Temporada regular,29.0,sáb,2023-04-08,12:30,Udinese,1.8,2–2,1.1,Monza,22.658,Dacia Arena,Luca Massimi,Relatório da Partida,
Temporada regular,29.0,sáb,2023-04-08,14:30,Fiorentina,1.0,1–1,0.7,Spezia,35.863,Stadio Artemio Franchi,Federico Dionisi,Relatório da Partida,
Temporada regular,29.0,sáb,2023-04-08,16:30,Atalanta,1.3,0–2,1.3,Bologna,18.95,Gewiss Stadium,Daniele Orsato,Relatório da Partida,
Temporada regular,29.0,sáb,2023-04-08,16:30,Sampdoria,2.1,2–3,1.3,Cremonese,20.421,Stadio Comunale Luigi Ferraris,Daniele Doveri,Relatório da Partida,
Temporada regular,29.0,sáb,2023-04-08,18:30,Hellas Verona,0.5,2–1,1.8,Sassuolo,23.66,Stadio Marc'Antonio Bentegodi,Francesco Fourneau,Relatório da Partida,
Temporada regular,29.0,sáb,2023-04-08,18:30,Torino,0.3,0–1,1.1,Roma,22.142,Stadio Olimpico di Torino,Andrea Colombo,Relatório da Partida,
Temporada regular,29.0,sáb,2023-04-08,20:45,Lazio,1.2,2–1,1.9,Juventus,54.0,Stadio Olimpico,Marco Di Bello,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,30.0,sex,2023-04-14,18:30,Cremonese,1.2,1–0,1.2,Empoli,8.966,Stadio Giovanni Zini,Luca Zufferli,Relatório da Partida,
Temporada regular,30.0,sex,2023-04-14,20:45,Spezia,0.7,0–3,2.8,Lazio,9.5,Stadio Alberto Picco,Massimiliano Irrati,Relatório da Partida,
Temporada regular,30.0,sáb,2023-04-15,15:00,Bologna,0.6,1–1,1.4,Milan,29.024,Stadio Renato Dall'Ara,Davide Massa,Relatório da Partida,
Temporada regular,30.0,sáb,2023-04-15,18:00,Napoli,0.4,0–0,0.4,Hellas Verona,39.216,Stadio Diego Armando Maradona,Federico La Penna,Relatório da Partida,
Temporada regular,30.0,sáb,2023-04-15,20:45,Inter,2.1,0–1,0.7,Monza,74.135,Stadio Giuseppe Meazza,Luca Pairetto,Relatório da Partida,
Temporada regular,30.0,dom,2023-04-16,12:30,Lecce,2.6,1–1,0.6,Sampdoria,22.471,Stadio Comunale Via Del Mare,Maurizio Mariani,Relatório da Partida,
Temporada regular,30.0,dom,2023-04-16,15:00,Torino,1.7,1–1,0.7,Salernitana,21.122,Stadio Olimpico di Torino,Gianluca Aureliano,Relatório da Partida,
Temporada regular,30.0,dom,2023-04-16,18:00,Sassuolo,0.9,1–0,1.1,Juventus,19.566,Mapei Stadium - Città del Tricolore,Antonio Rapuano,Relatório da Partida,
Temporada regular,30.0,dom,2023-04-16,20:45,Roma,2.5,3–0,1.2,Udinese,61.015,Stadio Olimpico,Antonio Giua,Relatório da Partida,
Temporada regular,30.0,seg,2023-04-17,20:45,Fiorentina,1.9,1–1,0.5,Atalanta,29.628,Stadio Artemio Franchi,Marco Guida,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,31.0,sex,2023-04-21,20:45,Hellas Verona,1.4,2–1,1.3,Bologna,21.031,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Relatório da Partida,
Temporada regular,31.0,sáb,2023-04-22,15:00,Salernitana,1.3,3–0,0.7,Sassuolo,23.06,Stadio Arechi,Giacomo Camplone,Relatório da Partida,
Temporada regular,31.0,sáb,2023-04-22,18:00,Lazio,0.6,0–1,0.6,Torino,50.0,Stadio Olimpico,Davide Ghersini,Relatório da Partida,
Temporada regular,31.0,sáb,2023-04-22,20:45,Sampdoria,1.4,1–1,2.5,Spezia,19.181,Stadio Comunale Luigi Ferraris,Fabio Maresca,Relatório da Partida,
Temporada regular,31.0,dom,2023-04-23,12:30,Empoli,0.9,0–3,1.1,Inter,15.337,Stadio Carlo Castellani,Livio Marinelli,Relatório da Partida,
Temporada regular,31.0,dom,2023-04-23,15:00,Udinese,1.6,3–0,0.9,Cremonese,23.455,Dacia Arena,Francesco Fourneau,Relatório da Partida,
Temporada regular,31.0,dom,2023-04-23,15:00,Monza,1.5,3–2,1.3,Fiorentina,13.118,U-Power Stadium,Juan Sacchi,Relatório da Partida,
Temporada regular,31.0,dom,2023-04-23,18:00,Milan,0.8,2–0,1.2,Lecce,72.614,Stadio Giuseppe Meazza,Daniele Chiffi,Relatório da Partida,
Temporada regular,31.0,dom,2023-04-23,20:45,Juventus,0.4,0–1,1.2,Napoli,39.839,Allianz Stadium,Michael Fabbri,Relatório da Partida,
Temporada regular,31.0,seg,2023-04-24,20:45,Atalanta,0.9,3–1,1.0,Roma,19.445,Gewiss Stadium,Massimiliano Irrati,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,32.0,sex,2023-04-28,18:30,Lecce,2.0,1–0,0.7,Udinese,23.069,Stadio Comunale Via Del Mare,Matteo Marchetti,Relatório da Partida,
Temporada regular,32.0,sex,2023-04-28,20:45,Spezia,1.7,0–2,0.9,Monza,9.2,Stadio Alberto Picco,Antonio Rapuano,Relatório da Partida,
Temporada regular,32.0,sáb,2023-04-29,18:00,Roma,1.0,1–1,1.0,Milan,64.191,Stadio Olimpico,Daniele Orsato,Relatório da Partida,
Temporada regular,32.0,sáb,2023-04-29,20:45,Torino,0.3,1–2,0.5,Atalanta,20.196,Stadio Olimpico di Torino,Juan Sacchi,Relatório da Partida,
