Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,3.0,dom,2022-08-28,18:30,Hellas Verona,0.5,0–1,0.8,Atalanta,16.106,Stadio Marc'Antonio Bentegodi,Alessandro Prontera,Relatório da Partida,
Temporada regular,3.0,dom,2022-08-28,20:45,Lecce,0.9,1–1,0.4,Empoli,23.941,Stadio Comunale Via Del Mare,Alberto Santoro,Relatório da Partida,
Temporada regular,3.0,dom,2022-08-28,20:45,Fiorentina,0.5,0–0,1.7,Napoli,32.286,Stadio Artemio Franchi,Livio Marinelli,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,4.0,ter,2022-08-30,18:30,Sassuolo,1.1,0–0,0.7,Milan,18.053,Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,4.0,ter,2022-08-30,20:45,Inter,2.2,3–1,1.2,Cremonese,70.75,Stadio Giuseppe Meazza,Francesco Fourneau,Relatório da Partida,
Temporada regular,4.0,ter,2022-08-30,20:45,Roma,1.8,3–0,0.9,Monza,60.669,Stadio Olimpico,Marco Piccinini,Relatório da Partida,
Temporada regular,4.0,qua,2022-08-31,18:30,Sampdoria,0.8,1–1,1.5,Lazio,18.499,Stadio Comunale Luigi Ferraris,Gianluca Aureliano,Relatório da Partida,
Temporada regular,4.0,qua,2022-08-31,18:30,Udinese,1.3,1–0,0.7,Fiorentina,19.684,Dacia Arena,Maurizio Mariani,Relatório da Partida,
Temporada regular,4.0,qua,2022-08-31,18:30,Empoli,1.1,1–1,0.6,Hellas Verona,7.269,Stadio Carlo Castellani,Marco Serra,Relatório da Partida,
Temporada regular,4.0,qua,2022-08-31,20:45,Juventus,0.9,2–0,0.2,Spezia,35.709,Allianz Stadium,Andrea Colombo,Relatório da Partida,
Temporada regular,4.0,qua,2022-08-31,20:45,Napoli,1.7,1–1,1.1,Lecce,37.573,Stadio Diego Armando Maradona,Matteo Marcenaro,Relatório da Partida,
Temporada regular,4.0,qui,2022-09-01,20:45,Atalanta,2.9,3–1,0.4,Torino,17.928,Gewiss Stadium,Marco Di Bello,Relatório da Partida,
Temporada regular,4.0,qui,2022-09-01,20:45,Bologna,1.8,1–1,1.4,Salernitana,19.787,Stadio Renato Dall'Ara,Davide Ghersini,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,5.0,sáb,2022-09-03,15:00,Fiorentina,2.1,1–1,0.9,Juventus,36.55,Stadio Artemio Franchi,Daniele Doveri,Relatório da Partida,
Temporada regular,5.0,sáb,2022-09-03,18:00,Milan,1.3,3–2,1.8,Inter,75.475,Stadio Giuseppe Meazza,Daniele Chiffi,Relatório da Partida,
Temporada regular,5.0,sáb,2022-09-03,20:45,Lazio,0.3,1–2,2.1,Napoli,39.0,Stadio Olimpico,Simone Sozza,Relatório da Partida,
Temporada regular,5.0,dom,2022-09-04,12:30,Cremonese,0.4,0–0,1.5,Sassuolo,9.105,Stadio Giovanni Zini,Luca Pairetto,Relatório da Partida,
Temporada regular,5.0,dom,2022-09-04,15:00,Spezia,0.9,2–2,0.9,Bologna,7.555,Stadio Alberto Picco,Antonio Giua,Relatório da Partida,
Temporada regular,5.0,dom,2022-09-04,18:00,Hellas Verona,2.5,2–1,0.8,Sampdoria,16.675,Stadio Marc'Antonio Bentegodi,Paolo Valeri,Relatório da Partida,
Temporada regular,5.0,dom,2022-09-04,20:45,Udinese,1.2,4–0,0.8,Roma,24.108,Dacia Arena,Fabio Maresca,Relatório da Partida,
Temporada regular,5.0,seg,2022-09-05,18:30,Salernitana,1.3,2–2,0.9,Empoli,18.173,Stadio Arechi,Rosario Abisso,Relatório da Partida,
Temporada regular,5.0,seg,2022-09-05,18:30,Monza,0.6,0–2,1.9,Atalanta,11.97,U-Power Stadium,Juan Sacchi,Relatório da Partida,
Temporada regular,5.0,seg,2022-09-05,20:45,Torino,1.1,1–0,0.3,Lecce,19.087,Stadio Olimpico di Torino,Manuel Volpi,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,6.0,sáb,2022-09-10,15:00,Napoli,2.2,1–0,0.5,Spezia,32.839,Stadio Diego Armando Maradona,Alberto Santoro,Relatório da Partida,
Temporada regular,6.0,sáb,2022-09-10,18:00,Inter,1.5,1–0,0.7,Torino,69.134,Stadio Giuseppe Meazza,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,6.0,sáb,2022-09-10,20:45,Sampdoria,0.7,1–2,1.7,Milan,23.049,Stadio Comunale Luigi Ferraris,Michael Fabbri,Relatório da Partida,
Temporada regular,6.0,dom,2022-09-11,12:30,Atalanta,0.7,1–1,0.6,Cremonese,18.252,Gewiss Stadium,Andrea Colombo,Relatório da Partida,
Temporada regular,6.0,dom,2022-09-11,15:00,Bologna,0.6,2–1,1.3,Fiorentina,18.901,Stadio Renato Dall'Ara,Daniele Orsato,Relatório da Partida,
Temporada regular,6.0,dom,2022-09-11,15:00,Lecce,0.9,1–1,0.1,Monza,23.391,Stadio Comunale Via Del Mare,Luca Pairetto,Relatório da Partida,
Temporada regular,6.0,dom,2022-09-11,15:00,Sassuolo,0.5,1–3,2.1,Udinese,8.694,Mapei Stadium - Città del Tricolore,Giacomo Camplone,Relatório da Partida,
Temporada regular,6.0,dom,2022-09-11,18:00,Lazio,1.1,2–0,0.3,Hellas Verona,38.0,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
Temporada regular,6.0,dom,2022-09-11,20:45,Juventus,1.9,2–2,1.6,Salernitana,35.097,Allianz Stadium,Matteo Marcenaro,Relatório da Partida,
Temporada regular,6.0,seg,2022-09-12,20:45,Empoli,1.1,1–2,3.0,Roma,4.56,Stadio Carlo Castellani,Livio Marinelli,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,7.0,sex,2022-09-16,20:45,Salernitana,1.2,1–2,1.5,Lecce,19.488,Stadio Arechi,Daniele Doveri,Relatório da Partida,
Temporada regular,7.0,sáb,2022-09-17,15:00,Bologna,1.6,0–1,1.6,Empoli,15.67,Stadio Renato Dall'Ara,Manuel Volpi,Relatório da Partida,
Temporada regular,7.0,sáb,2022-09-17,18:00,Spezia,0.7,2–1,0.9,Sampdoria,10.0,Stadio Alberto Picco,Simone Sozza,Relatório da Partida,
Temporada regular,7.0,sáb,2022-09-17,20:45,Torino,0.7,0–1,0.4,Sassuolo,14.822,Stadio Olimpico di Torino,Niccolò Baroni,Relatório da Partida,
Temporada regular,7.0,dom,2022-09-18,12:30,Udinese,1.6,3–1,1.1,Inter,22.475,Dacia Arena,Paolo Valeri,Relatório da Partida,
Temporada regular,7.0,dom,2022-09-18,15:00,Cremonese,1.3,0–4,3.1,Lazio,12.991,Stadio Giovanni Zini,Daniele Orsato,Relatório da Partida,
Temporada regular,7.0,dom,2022-09-18,15:00,Monza,2.5,1–0,0.9,Juventus,12.878,U-Power Stadium,Fabio Maresca,Relatório da Partida,
Temporada regular,7.0,dom,2022-09-18,15:00,Fiorentina,2.4,2–0,0.6,Hellas Verona,32.216,Stadio Artemio Franchi,Antonio Rapuano,Relatório da Partida,
Temporada regular,7.0,dom,2022-09-18,18:00,Roma,2.4,0–1,0.2,Atalanta,61.335,Stadio Olimpico,Daniele Chiffi,Relatório da Partida,
Temporada regular,7.0,dom,2022-09-18,20:45,Milan,2.6,1–2,1.4,Napoli,72.573,Stadio Giuseppe Meazza,Maurizio Mariani,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,8.0,sáb,2022-10-01,15:00,Napoli,1.6,3–1,1.0,Torino,35.953,Stadio Diego Armando Maradona,Luca Massimi,Relatório da Partida,
Temporada regular,8.0,sáb,2022-10-01,18:00,Inter,1.0,1–2,1.0,Roma,75.389,Stadio Giuseppe Meazza,Davide Massa,Relatório da Partida,
Temporada regular,8.0,sáb,2022-10-01,20:45,Empoli,1.1,1–3,2.3,Milan,15.497,Stadio Carlo Castellani,Gianluca Aureliano,Relatório da Partida,
Temporada regular,8.0,dom,2022-10-02,12:30,Lazio,2.3,4–0,1.1,Spezia,41.0,Stadio Olimpico,Juan Sacchi,Relatório da Partida,
Temporada regular,8.0,dom,2022-10-02,15:00,Sassuolo,3.2,5–0,0.5,Salernitana,15.786,Mapei Stadium - Città del Tricolore,Maria Sole Ferrieri Caputi,Relatório da Partida,
Temporada regular,8.0,dom,2022-10-02,15:00,Lecce,1.0,1–1,1.6,Cremonese,23.377,Stadio Comunale Via Del Mare,Livio Marinelli,Relatório da Partida,
Temporada regular,8.0,dom,2022-10-02,15:00,Sampdoria,0.1,0–3,1.4,Monza,19.806,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,8.0,dom,2022-10-02,18:00,Atalanta,1.3,1–0,0.7,Fiorentina,18.265,Gewiss Stadium,Massimiliano Irrati,Relatório da Partida,
Temporada regular,8.0,dom,2022-10-02,20:45,Juventus,1.8,3–0,0.4,Bologna,34.662,Allianz Stadium,Rosario Abisso,Relatório da Partida,
Temporada regular,8.0,seg,2022-10-03,20:45,Hellas Verona,0.3,1–2,1.8,Udinese,15.352,Stadio Marc'Antonio Bentegodi,Daniele Minelli,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,9.0,sáb,2022-10-08,15:00,Sassuolo,1.2,1–2,2.3,Inter,17.574,Mapei Stadium - Città del Tricolore,Simone Sozza,Relatório da Partida,
Temporada regular,9.0,sáb,2022-10-08,18:00,Milan,2.2,2–0,0.8,Juventus,75.53,Stadio Giuseppe Meazza,Daniele Orsato,Relatório da Partida,
Temporada regular,9.0,sáb,2022-10-08,20:45,Bologna,0.8,1–1,0.6,Sampdoria,20.871,Stadio Renato Dall'Ara,Marco Piccinini,Relatório da Partida,
Temporada regular,9.0,dom,2022-10-09,12:30,Torino,2.4,1–1,0.2,Empoli,16.793,Stadio Olimpico di Torino,Francesco Fourneau,Relatório da Partida,
Temporada regular,9.0,dom,2022-10-09,15:00,Udinese,1.0,2–2,2.1,Atalanta,24.671,Dacia Arena,Daniele Doveri,Relatório da Partida,
Temporada regular,9.0,dom,2022-10-09,15:00,Salernitana,1.1,2–1,0.9,Hellas Verona,15.922,Stadio Arechi,Davide Ghersini,Relatório da Partida,
Temporada regular,9.0,dom,2022-10-09,15:00,Monza,0.7,2–0,0.5,Spezia,12.094,U-Power Stadium,Daniele Perenzoni,Relatório da Partida,
Temporada regular,9.0,dom,2022-10-09,18:00,Cremonese,0.8,1–4,4.1,Napoli,14.238,Stadio Giovanni Zini,Rosario Abisso,Relatório da Partida,
Temporada regular,9.0,dom,2022-10-09,20:45,Roma,3.2,2–1,0.3,Lecce,64.018,Stadio Olimpico,Alessandro Prontera,Relatório da Partida,
