Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1.0,sáb,2023-08-19,18:30,Frosinone,0.9,1–3,1.5,Napoli,15.822,Stadio Benito Stirpe,Matteo Marcenaro,Relatório da Partida,
1.0,sáb,2023-08-19,18:30,Empoli,0.7,0–1,0.5,Hellas Verona,7.94,Stadio Carlo Castellani,Luca Massimi,Relatório da Partida,
1.0,sáb,2023-08-19,20:45,Inter,2.7,2–0,0.8,Monza,72.509,Stadio Giuseppe Meazza,Andrea Colombo,Relatório da Partida,
1.0,sáb,2023-08-19,20:45,Genoa,0.2,1–4,1.0,Fiorentina,33.045,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Relatório da Partida,
1.0,dom,2023-08-20,18:30,Sassuolo,0.4,0–2,1.3,Atalanta,12.298,Mapei Stadium - Città del Tricolore,Matteo Marchetti,Relatório da Partida,
1.0,dom,2023-08-20,18:30,Roma,1.9,2–2,0.1,Salernitana,62.05,Stadio Olimpico,Ermanno Feliciani,Relatório da Partida,
1.0,dom,2023-08-20,20:45,Lecce,1.4,2–1,1.6,Lazio,29.081,Stadio Comunale Via Del Mare,Federico Dionisi,Relatório da Partida,
1.0,dom,2023-08-20,20:45,Udinese,1.0,0–3,1.8,Juventus,24.911,Bluenergy Stadium,Antonio Rapuano,Relatório da Partida,
1.0,seg,2023-08-21,18:30,Torino,1.0,0–0,0.4,Cagliari,20.296,Stadio Olimpico di Torino,Francesco Cosso,Relatório da Partida,
1.0,seg,2023-08-21,20:45,Bologna,1.0,0–2,0.9,Milan,30.203,Stadio Renato Dall'Ara,Luca Pairetto,Relatório da Partida,
,,,,,,,,,,,,,
2.0,sáb,2023-08-26,18:30,Frosinone,0.7,2–1,1.6,Atalanta,13.426,Stadio Benito Stirpe,Juan Sacchi,Relatório da Partida,
2.0,sáb,2023-08-26,18:30,Monza,2.0,2–0,1.0,Empoli,8.155,U-Power Stadium,Gianluca Aureliano,Relatório da Partida,
2.0,sáb,2023-08-26,20:45,Hellas Verona,0.7,2–1,1.5,Roma,23.147,Stadio Marc'Antonio Bentegodi,Daniele Doveri,Relatório da Partida,
2.0,sáb,2023-08-26,20:45,Milan,3.0,4–1,0.5,Torino,72.013,Stadio Giuseppe Meazza,Maurizio Mariani,Relatório da Partida,
2.0,dom,2023-08-27,18:30,Juventus,0.8,1–1,0.5,Bologna,36.107,Allianz Stadium,Marco Di Bello,Relatório da Partida,
2.0,dom,2023-08-27,18:30,Fiorentina,1.3,2–2,0.3,Lecce,34.604,Stadio Artemio Franchi,Maria Sole Ferrieri Caputi,Relatório da Partida,
2.0,dom,2023-08-27,20:45,Napoli,3.5,2–0,0.2,Sassuolo,46.925,Stadio Diego Armando Maradona,Antonio Giua,Relatório da Partida,
2.0,dom,2023-08-27,20:45,Lazio,1.4,0–1,0.6,Genoa,40.0,Stadio Olimpico,Livio Marinelli,Relatório da Partida,
2.0,seg,2023-08-28,18:30,Salernitana,0.5,1–1,0.8,Udinese,20.0,Stadio Arechi,Davide Massa,Relatório da Partida,
2.0,seg,2023-08-28,20:45,Cagliari,0.6,0–2,0.9,Inter,16.412,Unipol Domus,Michael Fabbri,Relatório da Partida,
,,,,,,,,,,,,,
3.0,sex,2023-09-01,18:30,Sassuolo,1.7,3–1,0.6,Hellas Verona,10.356,Mapei Stadium - Città del Tricolore,Marco Piccinini,Relatório da Partida,
3.0,sex,2023-09-01,20:45,Roma,0.7,1–2,1.5,Milan,61.69,Stadio Olimpico,Antonio Rapuano,Relatório da Partida,
3.0,sáb,2023-09-02,18:30,Bologna,2.3,2–1,0.5,Cagliari,22.818,Stadio Renato Dall'Ara,Daniele Orsato,Relatório da Partida,
3.0,sáb,2023-09-02,18:30,Udinese,1.5,0–0,1.8,Frosinone,20.116,Bluenergy Stadium,Marco Guida,Relatório da Partida,
3.0,sáb,2023-09-02,20:45,Napoli,1.3,1–2,0.6,Lazio,42.0,Stadio Diego Armando Maradona,Andrea Colombo,Relatório da Partida,
3.0,sáb,2023-09-02,20:45,Atalanta,1.3,3–0,0.4,Monza,14.985,Gewiss Stadium,Matteo Marcenaro,Relatório da Partida,
3.0,dom,2023-09-03,18:30,Torino,0.4,1–0,0.2,Genoa,24.433,Stadio Olimpico di Torino,Daniele Chiffi,Relatório da Partida,
