Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Michele Di Gregorio,it ITA,G,25.0,37.0,37.0,3.33,37.0,49.0,132.0,167.0,119.0,725.0,14.0,10.0,13.0,10.0,270.0,3.0,3.0,0.0,0.0,0.0
Alessio Cragno,it ITA,G,28.0,1.0,1.0,90.0,1.0,3.0,300.0,5.0,2.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
