Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Alberto Brignoli,it ITA,G,28.0,33.0,33.0,2.97,33.0,31.0,94.0,114.0,82.0,772.0,16.0,14.0,3.0,12.0,364.0,6.0,5.0,1.0,0.0,167.0
Jacopo Furlan,it ITA,G,27.0,5.0,5.0,450.0,5.0,4.0,80.0,16.0,12.0,750.0,3.0,2.0,0.0,2.0,400.0,0.0,0.0,0.0,0.0,0
