Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Jesse Joronen,fi FIN,G,29.0,34.0,34.0,3.049,33.9,44.0,130.0,138.0,95.0,732.0,12.0,8.0,14.0,5.0,147.0,8.0,7.0,1.0,0.0,125.0
Bruno,br BRA,G,24.0,3.0,2.0,188.0,2.1,4.0,191.0,13.0,9.0,846.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Niki Mäenpää,fi FIN,G,37.0,2.0,2.0,180.0,2.0,2.0,100.0,5.0,3.0,600.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
