Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Samir Handanović,si SVN,G,36.0,37.0,37.0,3.24,36.0,33.0,92.0,110.0,76.0,736.0,27.0,7.0,3.0,14.0,378.0,6.0,4.0,2.0,0.0,333.0
Ionuț Radu,ro ROU,G,23.0,2.0,1.0,135.0,1.5,1.0,67.0,6.0,5.0,833.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Daniele Padelli,it ITA,G,34.0,1.0,0.0,45.0,0.5,1.0,200.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
