Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Leandro Chichizola,ar ARG,G,33.0,37.0,36.0,3.252,36.1,33.0,91.0,106.0,73.0,698.0,21.0,11.0,4.0,13.0,361.0,2.0,1.0,0.0,1.0,0.0
Edoardo Corvi,it ITA,G,22.0,2.0,2.0,168.0,1.9,2.0,107.0,11.0,9.0,818.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
