Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Guglielmo Vicario,it ITA,G,25.0,31.0,31.0,2.783,30.9,39.0,126.0,134.0,95.0,739.0,9.0,12.0,10.0,7.0,226.0,6.0,4.0,1.0,1.0,200.0
Samuele Perisan,it ITA,G,24.0,7.0,7.0,630.0,7.0,9.0,129.0,24.0,15.0,625.0,1.0,1.0,5.0,2.0,286.0,0.0,0.0,0.0,0.0,0
Samir Ujkani,xk KVX,G,34.0,1.0,0.0,7.0,0.1,1.0,1286.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
