Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
David Ospina,co COL,G,32.0,31.0,31.0,2.79,31.0,25.0,81.0,106.0,82.0,774.0,19.0,6.0,6.0,13.0,419.0,1.0,1.0,0.0,0.0,0.0
Alex Meret,it ITA,G,24.0,7.0,7.0,619.0,6.9,6.0,87.0,29.0,23.0,793.0,5.0,1.0,1.0,2.0,286.0,0.0,0.0,0.0,0.0,0
Davide Marfella,it ITA,G,21.0,1.0,0.0,11.0,0.1,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0
