Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Gianluigi Buffon,it ITA,G,44.0,17.0,17.0,1.529,17.0,22.0,129.0,58.0,37.0,672.0,9.0,4.0,4.0,4.0,235.0,3.0,3.0,0.0,0.0,0.0
Leandro Chichizola,ar ARG,G,32.0,17.0,16.0,1.441,16.0,13.0,81.0,46.0,33.0,761.0,5.0,6.0,5.0,7.0,438.0,2.0,2.0,0.0,0.0,0.0
Edoardo Corvi,it ITA,G,21.0,5.0,5.0,450.0,5.0,4.0,80.0,13.0,9.0,692.0,3.0,0.0,2.0,2.0,400.0,0.0,0.0,0.0,0.0,0
