Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Guillermo Ochoa,mx MEX,G,37.0,20.0,20.0,1.8,20.0,33.0,165.0,105.0,71.0,714.0,4.0,10.0,6.0,4.0,200.0,4.0,3.0,1.0,0.0,250.0
Luigi Sepe,it ITA,G,31.0,17.0,17.0,1.53,17.0,27.0,159.0,87.0,57.0,736.0,4.0,5.0,8.0,3.0,176.0,7.0,4.0,3.0,0.0,429.0
Vincenzo Fiorillo,it ITA,G,32.0,1.0,1.0,90.0,1.0,2.0,200.0,4.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
