Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Luca Lezzerini,it ITA,G,25.0,21.0,21.0,1.824,20.3,18.0,89.0,67.0,49.0,746.0,8.0,8.0,5.0,9.0,429.0,1.0,1.0,0.0,0.0,0.0
Alberto Pomini,it ITA,G,39.0,12.0,11.0,1.056,11.7,15.0,128.0,41.0,26.0,683.0,5.0,3.0,3.0,1.0,91.0,3.0,2.0,0.0,1.0,0.0
Niki Mäenpää,fi FIN,G,35.0,6.0,6.0,540.0,6.0,6.0,100.0,20.0,14.0,750.0,2.0,3.0,1.0,2.0,333.0,1.0,1.0,0.0,0.0,0.0
