Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Lorenzo Montipò,it ITA,G,26.0,37.0,37.0,3.33,37.0,59.0,159.0,181.0,124.0,680.0,7.0,9.0,21.0,5.0,135.0,2.0,1.0,1.0,0.0,500.0
Simone Perilli,it ITA,G,27.0,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,1000.0,0.0,1.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,0
