Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Marco Carnesecchi,it ITA,G,23.0,27.0,27.0,2.425,26.9,30.0,111.0,107.0,75.0,757.0,15.0,5.0,7.0,8.0,296.0,7.0,4.0,2.0,1.0,333.0
Juan Musso,ar ARG,G,29.0,11.0,11.0,990.0,11.0,12.0,109.0,34.0,23.0,706.0,6.0,1.0,4.0,6.0,545.0,2.0,2.0,0.0,0.0,0.0
Francesco Rossi,it ITA,G,32.0,1.0,0.0,5.0,0.1,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0
