Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Łukasz Skorupski,pl POL,G,30.0,36.0,36.0,3.24,36.0,53.0,147.0,174.0,122.0,741.0,11.0,9.0,16.0,12.0,333.0,9.0,8.0,1.0,0.0,111.0
Francesco Bardi,it ITA,G,29.0,2.0,2.0,177.0,2.0,2.0,102.0,9.0,7.0,778.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nicola Bagnolini,it ITA,G,17.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0
