Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Andrea Consigli,it ITA,G,33.0,37.0,37.0,3.33,37.0,56.0,151.0,185.0,129.0,719.0,17.0,10.0,10.0,7.0,189.0,5.0,4.0,1.0,0.0,200.0
Gianluca Pegolo,it ITA,G,39.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,1.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,0
