Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Josep Martinez,es ESP,G,24.0,30.0,30.0,2.699,30.0,22.0,73.0,82.0,61.0,756.0,19.0,8.0,3.0,17.0,567.0,2.0,2.0,0.0,0.0,0.0
Adrian Šemper,hr CRO,G,24.0,8.0,8.0,720.0,8.0,6.0,75.0,21.0,14.0,762.0,2.0,3.0,3.0,3.0,375.0,2.0,1.0,1.0,0.0,500.0
Giuseppe Agostino,it ITA,G,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
