Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Rui Patrício,pt POR,G,35.0,23.0,23.0,2.07,23.0,27.0,117.0,74.0,49.0,662.0,11.0,5.0,7.0,6.0,261.0,3.0,2.0,0.0,1.0,0.0
Mile Svilar,rs SRB,G,23.0,15.0,15.0,1.35,15.0,19.0,127.0,77.0,58.0,766.0,7.0,4.0,4.0,5.0,333.0,2.0,1.0,1.0,0.0,500.0
