Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Mike Maignan,fr FRA,G,26.0,32.0,32.0,2.88,32.0,21.0,66.0,101.0,81.0,812.0,22.0,7.0,3.0,17.0,531.0,2.0,2.0,0.0,0.0,0.0
Ciprian Tătărușanu,ro ROU,G,35.0,6.0,6.0,540.0,6.0,10.0,167.0,24.0,14.0,667.0,4.0,1.0,1.0,1.0,167.0,3.0,2.0,1.0,0.0,333.0
