Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Andrea Consigli,it ITA,G,34.0,37.0,37.0,3.322,36.9,63.0,171.0,171.0,108.0,678.0,13.0,11.0,13.0,3.0,81.0,9.0,8.0,1.0,0.0,111.0
Gianluca Pegolo,it ITA,G,40.0,1.0,1.0,90.0,1.0,3.0,300.0,5.0,2.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Giacomo Satalino,it ITA,G,22.0,1.0,0.0,8.0,0.1,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
