Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Alessio Cragno,it ITA,G,26.0,34.0,34.0,3.06,34.0,53.0,156.0,182.0,129.0,736.0,6.0,10.0,18.0,6.0,176.0,5.0,5.0,0.0,0.0,0.0
Guglielmo Vicario,it ITA,G,23.0,4.0,4.0,360.0,4.0,6.0,150.0,21.0,15.0,714.0,3.0,0.0,1.0,1.0,250.0,0.0,0.0,0.0,0.0,0
