Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Ivan Provedel,it ITA,G,28.0,38.0,37.0,3.413,37.9,30.0,79.0,128.0,99.0,773.0,21.0,8.0,8.0,21.0,568.0,2.0,1.0,0.0,1.0,0.0
Luís Maximiano,pt POR,G,23.0,1.0,1.0,5.0,0.1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
