Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Jeroen Zoet,nl NED,G,32.0,25.0,25.0,2.25,25.0,29.0,116.0,100.0,71.0,740.0,8.0,11.0,6.0,7.0,280.0,4.0,3.0,1.0,0.0,250.0
Bartłomiej Drągowski,pl POL,G,25.0,13.0,13.0,1.17,13.0,20.0,154.0,63.0,44.0,714.0,1.0,6.0,6.0,3.0,231.0,2.0,2.0,0.0,0.0,0.0
