Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Michele Di Gregorio,it ITA,G,24.0,37.0,37.0,3.33,37.0,37.0,100.0,140.0,104.0,771.0,19.0,9.0,9.0,15.0,405.0,6.0,5.0,1.0,0.0,167.0
Eugenio Lamanna,it ITA,G,31.0,1.0,1.0,90.0,1.0,1.0,100.0,3.0,2.0,667.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
