Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Pietro Terracciano,it ITA,G,32.0,29.0,29.0,2.61,29.0,38.0,131.0,96.0,59.0,667.0,9.0,8.0,12.0,5.0,172.0,7.0,6.0,1.0,0.0,143.0
Michele Cerofolini,it ITA,G,23.0,5.0,5.0,450.0,5.0,3.0,60.0,11.0,8.0,818.0,4.0,1.0,0.0,2.0,400.0,1.0,1.0,0.0,0.0,0.0
Pierluigi Gollini,it ITA,G,27.0,3.0,3.0,270.0,3.0,2.0,67.0,8.0,6.0,750.0,1.0,2.0,0.0,2.0,667.0,0.0,0.0,0.0,0.0,0
Salvatore Sirigu,it ITA,G,35.0,1.0,1.0,90.0,1.0,0.0,0.0,5.0,5.0,1000.0,1.0,0.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,0
