Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Ivan Provedel,it ITA,G,29.0,30.0,30.0,2.699,30.0,33.0,110.0,119.0,86.0,739.0,12.0,6.0,12.0,9.0,300.0,3.0,2.0,0.0,1.0,0.0
Christos Mandas,gr GRE,G,21.0,9.0,8.0,721.0,8.0,6.0,75.0,29.0,23.0,793.0,6.0,1.0,1.0,4.0,500.0,0.0,0.0,0.0,0.0,0
