Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Andreas Jungdal,dk DEN,G,21.0,18.0,18.0,1.62,18.0,13.0,72.0,62.0,49.0,806.0,11.0,3.0,4.0,10.0,556.0,1.0,1.0,0.0,0.0,0.0
Mouhamadou Sarr,sn SEN,G,26.0,12.0,12.0,1.08,12.0,12.0,100.0,45.0,33.0,756.0,5.0,4.0,3.0,3.0,250.0,2.0,1.0,1.0,0.0,500.0
Gianluca Saro,it ITA,G,23.0,8.0,8.0,720.0,8.0,7.0,87.0,30.0,23.0,767.0,3.0,3.0,2.0,3.0,375.0,0.0,0.0,0.0,0.0,0
