Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Filip Stankovic,rs SRB,G,21.0,37.0,37.0,3.33,37.0,49.0,132.0,149.0,99.0,711.0,16.0,8.0,13.0,8.0,216.0,7.0,6.0,1.0,0.0,143.0
Nicola Ravaglia,it ITA,G,34.0,1.0,1.0,90.0,1.0,1.0,100.0,4.0,3.0,750.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
