Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Wojciech Szczęsny,pl POL,G,32.0,28.0,28.0,2.472,27.5,26.0,95.0,93.0,67.0,753.0,17.0,3.0,8.0,14.0,500.0,3.0,3.0,0.0,0.0,0.0
Mattia Perin,it ITA,G,29.0,11.0,10.0,948.0,10.5,7.0,66.0,40.0,32.0,850.0,5.0,3.0,2.0,6.0,600.0,2.0,1.0,1.0,0.0,500.0
