Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Juan Musso,ar ARG,G,26.0,35.0,35.0,3.147,35.0,51.0,146.0,149.0,98.0,745.0,9.0,10.0,16.0,8.0,229.0,13.0,13.0,0.0,0.0,0.0
Nícolas Andrade,br BRA,G,32.0,2.0,2.0,180.0,2.0,5.0,250.0,6.0,1.0,167.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Simone Scuffet,it ITA,G,24.0,1.0,1.0,90.0,1.0,2.0,200.0,4.0,2.0,750.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Manuel Gasparini,it ITA,G,18.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
