Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
Stefano Turati,it ITA,G,21.0,31.0,31.0,2.745,30.5,58.0,190.0,152.0,94.0,651.0,6.0,9.0,16.0,4.0,129.0,7.0,5.0,1.0,1.0,167.0
Michele Cerofolini,it ITA,G,24.0,8.0,7.0,675.0,7.5,11.0,147.0,28.0,18.0,607.0,2.0,2.0,3.0,3.0,429.0,1.0,0.0,0.0,1.0,0
