Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Gleison Bremer,br BRA,ZG,26.0,36,36,3.233,35.9,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,1.4,1.4,0.4,19.0,7.0,120.0,4.0,8.0,0.0,8.0,8.0,8.0,4.0,1.0,5.0,4.0,5.0,Partidas,Wojciech Szczęsny,pl POL,G,33.0,35.0,35.0,3.15,35.0,30.0,86.0,108.0,79.0,741.0,17.0,13.0,5.0,15.0,429.0,3.0,2.0,1.0,0.0,333.0,Partidas,Gleison Bremer,br BRA,ZG,26.0,35.9,58.0,42.0,32.0,21.0,5.0,21.0,29.0,724.0,8.0,45.0,27.0,18.0,40.0,98.0,147.0,0.0,Partidas
Wojciech Szczęsny,pl POL,G,33.0,35,35,3.15,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Mattia Perin,it ITA,G,30.0,3.0,3.0,225.0,2.5,1.0,40.0,5.0,4.0,800.0,2.0,1.0,0.0,1.0,333.0,0.0,0.0,0.0,0.0,,Partidas,Wojciech Szczęsny,pl POL,G,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,11.0,2.0,Partidas
Manuel Locatelli,it ITA,LT,25.0,36,34,3.008,33.4,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,1.4,27.0,21.0,232.0,26.0,3.0,12.0,15.0,3.0,15.0,4.0,4.0,8.0,4.0,8.0,Partidas,Carlo Pinsoglio,it ITA,G,33.0,1.0,0.0,45.0,0.5,0.0,0.0,3.0,3.0,1000.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Partidas,Manuel Locatelli,it ITA,LT,25.0,33.4,69.0,43.0,24.0,35.0,10.0,31.0,58.0,534.0,27.0,43.0,17.0,26.0,25.0,94.0,65.0,0.0,Partidas
Adrien Rabiot,fr FRA,LT,28.0,31,30,2.651,29.5,5.0,3.0,8.0,5.0,0.0,0.0,8.0,0.0,3.5,3.4,4.1,74.0,72.0,120.0,106.0,17.0,10.0,27.0,17.0,27.0,12.0,14.0,26.0,11.0,25.0,Partidas,Total do time,,,26.5,38.0,38.0,3.42,38.0,31.0,82.0,116.0,86.0,750.0,19.0,14.0,5.0,17.0,447.0,3.0,2.0,1.0,0.0,333.0,,Adrien Rabiot,fr FRA,LT,28.0,29.5,58.0,39.0,22.0,30.0,6.0,30.0,45.0,667.0,15.0,26.0,6.0,20.0,25.0,83.0,34.0,0.0,Partidas
Federico Gatti,it ITA,ZG,25.0,32,30,2.637,29.3,4.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,5.5,5.5,1.5,70.0,52.0,122.0,43.0,14.0,0.0,14.0,14.0,14.0,19.0,5.0,24.0,19.0,24.0,Partidas,Total de adversários,,,26.6,38.0,38.0,3.42,38.0,54.0,142.0,151.0,97.0,662.0,5.0,14.0,19.0,7.0,184.0,5.0,3.0,2.0,0.0,400.0,,Federico Gatti,it ITA,ZG,25.0,29.3,33.0,19.0,16.0,16.0,1.0,19.0,24.0,792.0,5.0,26.0,15.0,11.0,19.0,52.0,90.0,1.0,Partidas
Weston McKennie,us USA,"LT,ZG",24.0,34,29,2.594,28.8,0.0,7.0,7.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,3.9,69.0,64.0,92.0,176.0,0.0,24.0,24.0,0.0,24.0,10.0,13.0,24.0,10.0,24.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Weston McKennie,us USA,"LT,ZG",24.0,28.8,48.0,29.0,31.0,11.0,6.0,17.0,27.0,630.0,10.0,28.0,7.0,21.0,18.0,66.0,69.0,0.0,Partidas
Andrea Cambiaso,it ITA,"ZG,AT",23.0,34,28,2.372,26.4,2.0,3.0,5.0,2.0,0.0,0.0,10.0,0.0,2.2,2.2,3.9,60.0,87.0,71.0,172.0,8.0,11.0,19.0,8.0,19.0,8.0,15.0,23.0,8.0,23.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Cambiaso,it ITA,"ZG,AT",23.0,26.4,47.0,30.0,23.0,15.0,9.0,25.0,43.0,581.0,18.0,28.0,3.0,25.0,11.0,58.0,26.0,1.0,Partidas
Danilo,br BRA,ZG,32.0,29,27,2.452,27.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,0.9,22.0,18.0,161.0,21.0,4.0,4.0,7.0,4.0,7.0,5.0,3.0,8.0,5.0,8.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Danilo,br BRA,ZG,32.0,27.2,60.0,36.0,38.0,18.0,4.0,32.0,48.0,667.0,16.0,34.0,15.0,19.0,37.0,97.0,94.0,0.0,Partidas
Dušan Vlahović,rs SRB,AT,23.0,33,27,2.307,25.6,16.0,4.0,20.0,14.0,2.0,4.0,8.0,1.0,16.6,13.3,2.3,156.0,36.0,46.0,174.0,62.0,16.0,78.0,55.0,70.0,65.0,9.0,74.0,52.0,61.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Dušan Vlahović,rs SRB,AT,23.0,25.6,9.0,5.0,0.0,6.0,3.0,4.0,11.0,364.0,7.0,4.0,2.0,2.0,1.0,10.0,11.0,0.0,Partidas
